STN,YYYYMMDD,HH,DD,FH,FF,FX,T,T10,TD,SQ,Q,DR,RH,P,VV,N,U,WW,IX,M,R,S,O,Y
"  260",20020101,1,240,20,30,50,-1,,-4,0,0,0,0,10348,18,4,98,28,1,1,0,0,0,1
"  260",20020101,2,240,20,20,40,-9,,-11,0,0,0,0,10350,20,3,98,10,1,0,0,0,0,0
"  260",20020101,3,260,10,20,40,2,,1,0,0,0,0,10353,28,7,99,10,1,0,0,0,0,0
"  260",20020101,4,240,20,20,40,0,,-4,0,0,0,0,10355,15,1,97,11,1,0,0,0,0,0
"  260",20020101,5,240,30,40,50,1,,-2,0,0,0,0,10356,25,0,98,11,1,0,0,0,0,0
"  260",20020101,6,240,30,30,50,-2,-49,-6,0,0,0,0,10358,45,0,97,11,1,0,0,0,0,0
"  260",20020101,7,240,30,40,60,-2,,-7,0,0,0,0,10363,62,1,96,,2,0,0,0,0,0
"  260",20020101,8,240,30,40,60,-4,,-11,0,0,0,0,10370,62,1,94,,2,0,0,0,0,0
"  260",20020101,9,220,30,30,60,-2,,-12,8,10,0,0,10371,60,1,92,,2,0,0,0,0,0
"  260",20020101,10,220,30,30,50,6,,-8,10,50,0,0,10372,57,2,90,10,1,0,0,0,0,0
"  260",20020101,11,230,40,40,70,1,,-11,8,68,0,0,10379,9,4,92,46,1,1,0,0,0,0
"  260",20020101,12,220,40,40,70,-4,-52,-9,0,47,0,0,10376,14,7,96,28,1,1,0,0,0,0
"  260",20020101,13,230,40,40,80,-2,,-6,0,40,0,0,10374,20,8,97,10,1,0,0,0,0,0
"  260",20020101,14,220,40,40,80,-2,,-5,0,22,0,0,10371,14,8,98,10,1,0,0,0,0,0
"  260",20020101,15,230,40,40,80,-1,,-3,0,10,0,0,10371,8,8,98,48,1,1,0,0,0,1
"  260",20020101,16,230,40,40,80,-1,,-2,0,3,0,0,10371,8,8,99,48,1,1,0,0,0,1
"  260",20020101,17,230,40,50,80,-2,,-3,0,0,0,0,10368,8,8,99,48,1,1,0,0,0,1
"  260",20020101,18,240,50,50,90,-3,-2,-4,0,0,0,0,10368,8,8,99,48,1,1,0,0,0,1
"  260",20020101,19,230,50,50,100,-4,,-5,0,0,0,0,10369,6,8,99,48,1,1,0,0,0,1
"  260",20020101,20,240,50,50,90,-5,,-6,0,0,0,0,10367,9,8,99,48,1,1,0,0,0,1
"  260",20020101,21,230,50,50,100,-4,,-5,0,0,0,0,10364,14,8,99,28,1,1,0,0,0,1
"  260",20020101,22,240,50,50,90,-3,,-4,0,0,0,0,10362,8,8,99,48,1,1,0,0,0,1
"  260",20020101,23,240,50,50,90,-2,,-2,0,0,0,0,10361,8,8,100,48,1,1,0,0,0,1
"  260",20020101,24,240,40,40,80,0,-4,-1,0,0,0,0,10354,7,8,99,48,1,1,0,0,0,1
"  260",20020102,1,240,40,40,70,0,,-1,0,0,0,0,10355,2,9,99,47,1,1,0,0,0,0
"  260",20020102,2,240,40,40,70,-4,,-4,0,0,0,0,10358,2,9,100,49,1,1,0,0,0,1
"  260",20020102,3,240,40,40,70,-7,,-8,0,0,0,0,10358,2,7,99,48,1,1,0,0,0,1
"  260",20020102,4,230,40,40,70,-12,,-12,0,0,0,0,10353,2,7,100,48,1,1,0,0,0,1
"  260",20020102,5,220,30,30,60,-17,,-17,0,0,0,0,10350,3,7,100,48,1,1,0,0,0,1
"  260",20020102,6,230,20,30,50,-18,-16,-19,0,0,0,0,10349,1,8,99,48,1,1,0,0,0,1
"  260",20020102,7,220,20,20,50,-19,,-20,0,0,0,0,10349,2,8,99,48,1,1,0,0,0,1
"  260",20020102,13,120,20,20,30,-23,,-25,0,26,0,-1,10355,1,9,98,49,1,1,0,1,0,1
"  260",20020102,14,110,20,20,30,-27,,-29,0,20,0,0,10348,1,9,98,49,1,1,0,0,0,1
"  260",20020102,15,990,10,10,30,-23,,-25,0,12,0,-1,10347,1,9,98,49,1,1,0,1,0,1
"  260",20020102,16,990,10,10,30,-29,,-32,0,2,0,-1,10350,1,0,98,48,1,1,0,1,0,1
"  260",20020102,17,100,10,20,30,-34,,-37,0,0,0,0,10347,1,9,97,49,1,1,0,0,0,1
"  260",20020102,18,90,10,10,20,-32,-32,-35,0,0,0,0,10348,2,9,97,49,1,1,0,0,0,1
"  260",20020102,19,50,10,10,20,-35,,-38,0,0,0,0,10347,27,6,97,28,1,1,0,0,0,1
"  260",20020102,20,50,10,20,20,-38,,-41,0,0,0,0,10347,40,2,97,10,1,0,0,0,0,0
"  260",20020102,21,50,10,20,30,-27,,-30,0,0,0,0,10344,50,7,98,10,1,0,0,0,0,0
"  260",20020102,22,70,10,20,30,-21,,-23,0,0,0,0,10344,56,8,98,10,1,0,0,0,0,0
"  260",20020102,23,70,10,20,30,-16,,-17,0,0,0,0,10346,56,8,99,10,1,0,0,0,0,0
"  260",20020102,24,90,20,30,50,-8,-54,-9,0,0,0,0,10346,50,7,99,10,1,0,0,0,0,0
"  260",20020103,1,100,40,40,60,-3,,-3,0,0,0,0,10346,15,8,100,10,1,0,0,0,0,0
"  260",20020103,2,110,50,60,80,-2,,-2,0,0,0,0,10349,15,8,100,10,1,0,0,0,0,0
"  260",20020103,3,110,50,40,80,-3,,-3,0,0,0,0,10346,13,8,100,10,1,0,0,0,0,0
"  260",20020103,4,90,40,40,80,-4,,-5,0,0,0,0,10342,40,6,99,10,1,0,0,0,0,0
"  260",20020103,5,90,40,40,70,-8,,-10,0,0,0,0,10338,56,0,98,10,1,0,0,0,0,0
"  260",20020103,6,90,40,40,70,-11,-20,-14,0,0,0,0,10338,45,4,98,10,1,0,0,0,0,0
"  260",20020103,7,90,40,40,70,-18,,-22,0,0,0,0,10342,35,2,97,10,1,0,0,0,0,0
"  260",20020103,8,100,40,40,60,-24,,-30,0,0,0,0,10343,30,1,95,10,1,0,0,0,0,0
"  260",20020103,9,110,40,50,70,-20,,-29,8,15,0,0,10349,56,2,93,10,1,0,0,0,0,0
"  260",20020103,10,100,50,50,80,-17,,-30,10,52,0,0,10348,57,4,90,10,1,0,0,0,0,0
"  260",20020103,11,110,60,60,100,-12,,-36,10,104,0,0,10345,61,3,82,,2,0,0,0,0,0
"  260",20020103,12,100,60,50,100,-9,-33,-40,10,115,0,0,10341,66,2,77,,2,0,0,0,0,0
"  260",20020103,13,100,60,70,100,-9,,-46,10,106,0,0,10336,69,2,73,,2,0,0,0,0,0
"  260",20020103,14,100,60,70,100,-12,,-54,10,76,0,0,10338,70,1,70,,2,0,0,0,0,0
"  260",20020103,15,100,60,60,100,-18,,-58,10,41,0,0,10342,70,1,71,,2,0,0,0,0,0
"  260",20020103,16,90,60,50,90,-30,,-62,0,9,0,0,10345,70,1,76,,2,0,0,0,0,0
"  260",20020103,17,110,60,50,90,-32,,-67,0,0,0,0,10342,75,1,74,,2,0,0,0,0,0
"  260",20020103,18,100,50,50,80,-32,-43,-70,0,0,0,0,10345,75,0,72,,2,0,0,0,0,0
"  260",20020103,19,100,40,50,70,-39,,-73,0,0,0,0,10344,75,0,75,,2,0,0,0,0,0
"  260",20020103,20,100,50,50,70,-38,,-76,0,0,0,0,10342,75,0,72,,2,0,0,0,0,0
"  260",20020103,21,100,50,50,80,-40,,-77,0,0,0,0,10340,75,0,73,,2,0,0,0,0,0
"  260",20020103,22,90,50,50,80,-52,,-81,0,0,0,0,10339,75,1,78,,2,0,0,0,0,0
"  260",20020103,23,90,50,50,90,-50,,-87,0,0,0,0,10335,75,1,73,,2,0,0,0,0,0
"  260",20020103,24,100,60,60,90,-53,-62,-92,0,0,0,0,10330,75,1,71,,2,0,0,0,0,0
"  260",20020104,1,90,50,50,80,-58,,-96,0,0,0,0,10331,75,1,72,,2,0,0,0,0,0
"  260",20020104,2,110,40,40,70,-55,,-101,0,0,0,0,10330,75,0,67,,2,0,0,0,0,0
"  260",20020104,3,110,50,50,80,-54,,-101,0,0,0,0,10328,80,0,66,,2,0,0,0,0,0
"  260",20020104,4,110,50,50,80,-50,,-104,0,0,0,0,10327,80,0,62,,2,0,0,0,0,0
"  260",20020104,5,120,50,40,70,-54,,-104,0,0,0,0,10326,80,0,65,,2,0,0,0,0,0
"  260",20020104,6,110,50,40,70,-55,-68,-107,0,0,0,0,10329,80,0,63,,2,0,0,0,0,0
"  260",20020104,7,120,50,50,70,-56,,-108,0,0,0,0,10332,80,0,63,,2,0,0,0,0,0
"  260",20020104,8,130,50,50,70,-55,,-110,0,0,0,0,10336,80,0,62,,2,0,0,0,0,0
"  260",20020104,9,130,50,50,80,-46,,-108,8,14,0,0,10340,80,0,58,,2,0,0,0,0,0
"  260",20020104,10,140,60,70,100,-35,,-103,10,48,0,0,10338,80,0,55,,2,0,0,0,0,0
"  260",20020104,11,140,60,50,100,-26,,-98,10,79,0,0,10338,80,0,54,,2,0,0,0,0,0
"  260",20020104,12,140,40,50,80,-9,-66,-91,10,94,0,0,10332,80,0,50,,2,0,0,0,0,0
"  260",20020104,13,130,50,50,80,-3,,-88,10,94,0,0,10327,80,0,48,,2,0,0,0,0,0
"  260",20020104,14,130,50,40,80,-2,,-89,10,76,0,0,10331,80,0,48,,2,0,0,0,0,0
"  260",20020104,15,130,40,30,80,-2,,-93,10,43,0,0,10330,80,1,46,,2,0,0,0,0,0
"  260",20020104,16,140,30,30,70,-12,,-89,0,9,0,0,10334,80,1,52,,2,0,0,0,0,0
"  260",20020104,17,130,30,30,50,-20,,-86,0,0,0,0,10339,80,0,57,,2,0,0,0,0,0
"  260",20020104,18,130,40,40,60,-21,-58,-93,0,0,0,0,10341,80,0,54,,2,0,0,0,0,0
"  260",20020104,19,130,30,40,60,-21,,-98,0,0,0,0,10346,80,0,51,,2,0,0,0,0,0
"  260",20020104,20,140,40,40,60,-25,,-97,0,0,0,0,10346,80,0,54,,2,0,0,0,0,0
"  260",20020104,21,140,40,40,70,-29,,-93,0,0,0,0,10343,81,0,58,,2,0,0,0,0,0
"  260",20020104,22,160,40,40,80,-32,,-91,0,0,0,0,10347,80,0,60,,2,0,0,0,0,0
"  260",20020104,23,150,30,20,60,-43,,-88,0,0,0,0,10352,80,0,68,,2,0,0,0,0,0
"  260",20020104,24,140,20,30,40,-43,-57,-89,0,0,0,0,10353,70,0,67,,2,0,0,0,0,0
"  260",20020105,1,140,30,30,50,-46,,-89,0,0,0,0,10353,70,0,69,,2,0,0,0,0,0
"  260",20020105,2,150,30,30,50,-45,,-89,0,0,0,0,10355,74,0,68,,2,0,0,0,0,0
"  260",20020105,3,140,30,30,50,-50,,-89,0,0,0,0,10360,75,0,71,,2,0,0,0,0,0
"  260",20020105,4,150,30,20,40,-50,,-88,0,0,0,0,10360,75,0,72,,2,0,0,0,0,0
"  260",20020105,5,160,30,30,50,-52,,-87,0,0,0,0,10361,75,0,74,,2,0,0,0,0,0
"  260",20020105,6,150,30,30,50,-53,-62,-90,0,0,0,0,10362,75,0,72,,2,0,0,0,0,0
